trip_id,arrival_time,departure_time,stop_id,,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
なかま平日_1号_01,8:50:00,8:50:00,nkm01,役場,1,,3,1,
なかま平日_1号_01,8:51:00,8:51:00,nkm04,薮田（集会場）,2,,3,3,
なかま平日_1号_01,8:52:00,8:52:00,nkm05,薮田（橋）,3,,3,3,
なかま平日_1号_01,8:53:00,8:53:00,nkm06,宮谷,4,,3,3,
なかま平日_1号_01,8:55:00,8:55:00,nkm07,しめ縄会館,5,,3,3,
なかま平日_1号_01,8:56:00,8:56:00,nkm08,水海（飯田氏宅）,6,,3,3,
なかま平日_1号_01,8:57:00,8:57:00,nkm09,水海（農協支所）,7,,3,3,
なかま平日_1号_01,8:58:00,8:58:00,nkm10,水海（神社前）,8,,3,3,
なかま平日_1号_01,9:00:00,9:00:00,nkm11,安善寺,9,,3,3,
なかま平日_1号_01,9:02:00,9:02:00,nkm05,薮田（橋）,10,,3,3,
なかま平日_1号_01,9:03:00,9:03:00,nkm04,薮田（集会場）,11,,3,3,
なかま平日_1号_01,9:04:00,9:04:00,nkm03,ほっとプラザ,12,,3,3,
なかま平日_1号_01,9:04:00,9:04:00,nkm02,文化交流会館,13,,3,3,
なかま平日_1号_01,9:05:00,9:05:00,nkm01,役場,14,,3,3,
なかま平日_1号_01,9:06:00,9:06:00,nkm12,やまざき歯科,15,,3,3,
なかま平日_1号_01,9:06:00,9:06:00,nkm13,商工会（整骨院入口）,16,,3,3,
なかま平日_1号_01,9:07:00,9:07:00,nkm14,稲荷橋西側,17,,3,3,
なかま平日_1号_01,9:08:00,9:08:00,nkm15,寺島（神社）,18,,3,3,
なかま平日_1号_01,9:14:00,9:14:00,nkm16,定方,19,,3,3,
なかま平日_1号_01,9:15:00,9:15:00,nkm17_1,西角間,20,,3,3,
なかま平日_1号_01,9:16:00,9:16:00,nkm18,菅生,21,,3,3,
なかま平日_1号_01,9:21:00,9:21:00,nkm21,金山,22,,3,3,
なかま平日_1号_01,9:23:00,9:23:00,nkm20,中出,23,,3,3,
なかま平日_1号_01,9:24:00,9:24:00,nkm19,辻,24,,3,3,
なかま平日_1号_01,9:26:00,9:26:00,nkm18,菅生,25,,3,3,
なかま平日_1号_01,9:27:00,9:27:00,nkm22,菅生診療所,26,,3,3,
なかま平日_1号_01,9:28:00,9:28:00,nkm23,新保,27,,3,3,
なかま平日_1号_01,9:30:00,9:30:00,nkm24,東俣（道場横）,28,,3,3,
