stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
fkt01,1,越前武生,,35.906331,136.170135,,,0,,,
fkt02,1,ＪＲ武生駅前,,35.903788,136.170186,,,0,,,
fkt03,1,越前市役所前,,35.90318,136.169274,,,0,,,
fkt04,1,仁愛大学前,,35.889024,136.212117,,,0,,,
fkt05,1,魚見,,35.856787,136.293023,,,0,,,
fkt06,1,菅生,,35.857553,136.30645,,,0,,,
fkt07,1,西角間,,35.86237,136.318351,,,0,,,
fkt08,1,東角間,,35.86377,136.320291,,,0,,,
fkt09,1,定方,,35.866541,136.321616,,,0,,,
fkt10,1,上荒谷,,35.875507,136.331567,,,0,,,
fkt11,1,荒谷,,35.880983,136.334702,,,0,,,
fkt12,1,池田分校,,35.886398,136.337587,,,0,,,
fkt13,1,市,,35.881992,136.336926,,,0,,,
fkt14,1,寺島,,35.884551,136.340581,,,0,,,
fkt15,1,稲荷,,35.885603,136.343496,,,0,,,
fkt16,1,薮田,,35.8943,136.348237,,,0,,,
fkt17,1,薮田橋,,35.898372,136.353266,,,0,,,
fkt18,1,谷口,,35.900916,136.355956,,,0,,,
fkt19,1,谷口門前,,35.905292,136.357267,,,0,,,
fkt20,1,野尻,,35.918946,136.352045,,,0,,,
fkt21,1,清水谷,,35.91686,136.341641,,,0,,,
kfb01,2,福井駅前,,36.062376,136.219072,,,0,,,
kfb02,2,松ヶ谷,,35.944325,136.359161,,,0,,,
kfb03,2,白粟,,35.936798,136.362101,,,0,,,
kfb04,2,持越,,35.929182,136.354754,,,0,,,
kfb05,2,野尻,,35.918946,136.352045,,,0,,,
kfb06,2,谷口第一,,35.905292,136.357267,,,0,,,
kfb07,2,谷口,,35.900916,136.355956,,,0,,,
kfb08,2,薮田橋,,35.898372,136.353266,,,0,,,
kfb09,2,薮田,,38.8943,136.348237,,,0,,,
kfb10,2,役場入口,,35.890293,136.345525,,,0,,,
kfb11,2,稲荷中央,,35.888457,136.344229,,,0,,,
